ReviewID,Company,JobTitle,Department,Location,ReviewDate,OverallRating,Pros,Cons
review-51313080,Nineleaps Technology Solutions,Data Engineer,Software Development Department,Bangalore / Bengaluru,2023-10-17,5,It has a great work-life balance. Employee oriented company,noth as such Work Details Work policy: 3 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-48433822,Nineleaps Technology Solutions,Senior Software Engineer,Software Development Department,Bangalore / Bengaluru,2023-08-22,4,Employee skill development is the top priority.,"At times, work can become extremely exhausting and overwhelming. Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job."
review-47733790,Nineleaps Technology Solutions,Software Developer,Software Development Department,Bangalore / Bengaluru,2023-08-07,4,Job security is good. Pay is better than other service based companies,None that I've found till date Work Details Work policy: 2 days/week from office Work days: Monday to Friday (Flexible Timings)  Work related travel: This job involves Travel Within City.
review-48278002,Nineleaps Technology Solutions,Member Technical Staff 2,Software Development Department,Bangalore / Bengaluru,2023-08-19,3,Peoples approch to help others.,Less promotion and less appraisal Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-48815140,Nineleaps Technology Solutions,Software Development Engineer 1,Engineering Department,Bangalore / Bengaluru,2023-09-01,4,Good learning opportunities,Bench period Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-44188538,Nineleaps Technology Solutions,Data Analyst,Data Science & Machine Learning Department,Bangalore / Bengaluru,2023-06-01,5,"Every one is very helpful here, managers, directors are cooperative. Work life balance is good.",There is nothing as such. Work Details Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-57638964,Nineleaps Technology Solutions,Member Technical Staff 2,Software Development Department,Bangalore / Bengaluru,2024-06-02,3,You get to learn new skills,Work life balance is miserable. Clients are preferred over employee's mental health.
review-41307591,Nineleaps Technology Solutions,SDE-2,Software Development Department,Bangalore / Bengaluru,2023-03-10,5,You will get to learn alot. + You will get better raise than most of mncs and you will be promoted very fast based on your work. You get lunch in office if working from office.,Sometimes work life balance gets disturbed due to projects. It varies from project to project. Work Details Work policy: If client want to work from office people have to come back. Otherwise most people are working from home only. Work days: Monday to Friday (Flexible Timings)  Work related travel: This is a desk job.
review-56527102,Nineleaps Technology Solutions,Software Development Engineer II,Software Development Department,Bangalore / Bengaluru,2024-04-05,3,Good opportunities,"No job security, they hire people on bench and then fire if project not available. Should hire for projects Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This is a desk job."
review-45155160,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics Department,Bangalore / Bengaluru,2023-06-22,4,Work/Life Balance at the company is good,Salary cycles are only once a year Work Details Work days: Monday to Friday (Strict Timings)  Work related travel: This job involves Travel Within City.
review-50601914,Nineleaps Technology Solutions,Software Development Engineer II,Software Development Department,Bangalore / Bengaluru,2023-10-06,4,You will get to learn new technologies.,Sometimes work life balance is not good
review-44980208,Nineleaps Technology Solutions,Technical Staff Member 3,Software Development Department,Bangalore / Bengaluru,2023-06-19,4,there is ample opportunity to learn and grow in your career,compensation is average only Work Details Work days: Monday to Friday (Flexible Timings)
review-44196240,Nineleaps Technology Solutions,Data Analyst,Business Intelligence & Analytics Department,Bangalore / Bengaluru,2023-06-01,5,good work culture in the company,less salary for freshers Work Details Work related travel: This is a desk job.
review-43890026,Nineleaps Technology Solutions,Senior QA Engineer,Quality Assurance and Testing Department,Bangalore / Bengaluru,2023-05-23,4,Love the work culture,Work life balance
